,action,reward,id,block,schedule_type
0,0,0,1534336058_38.csv,1, STATIC
1,1,1,1534336058_38.csv,1, STATIC
2,0,0,1534336058_38.csv,1, STATIC
3,1,0,1534336058_38.csv,1, STATIC
4,1,0,1534336058_38.csv,1, STATIC
5,1,0,1534336058_38.csv,1, STATIC
6,1,0,1534336058_38.csv,1, STATIC
7,0,0,1534336058_38.csv,1, STATIC
8,0,1,1534336058_38.csv,1, STATIC
9,0,0,1534336058_38.csv,1, STATIC
10,1,0,1534336058_38.csv,1, STATIC
11,1,0,1534336058_38.csv,1, STATIC
12,0,0,1534336058_38.csv,1, STATIC
13,0,0,1534336058_38.csv,1, STATIC
14,0,0,1534336058_38.csv,1, STATIC
15,1,0,1534336058_38.csv,1, STATIC
16,0,0,1534336058_38.csv,1, STATIC
17,1,0,1534336058_38.csv,1, STATIC
18,0,0,1534336058_38.csv,1, STATIC
19,1,0,1534336058_38.csv,1, STATIC
20,1,1,1534336058_38.csv,1, STATIC
21,1,0,1534336058_38.csv,1, STATIC
22,0,0,1534336058_38.csv,1, STATIC
23,0,0,1534336058_38.csv,1, STATIC
24,0,0,1534336058_38.csv,1, STATIC
25,1,0,1534336058_38.csv,1, STATIC
26,1,0,1534336058_38.csv,1, STATIC
27,0,1,1534336058_38.csv,1, STATIC
28,0,0,1534336058_38.csv,1, STATIC
29,0,0,1534336058_38.csv,1, STATIC
30,1,0,1534336058_38.csv,1, STATIC
31,1,0,1534336058_38.csv,1, STATIC
32,0,0,1534336058_38.csv,1, STATIC
33,1,0,1534336058_38.csv,1, STATIC
34,0,0,1534336058_38.csv,1, STATIC
35,1,1,1534336058_38.csv,1, STATIC
36,1,1,1534336058_38.csv,1, STATIC
37,1,1,1534336058_38.csv,1, STATIC
38,1,1,1534336058_38.csv,1, STATIC
39,1,0,1534336058_38.csv,1, STATIC
40,1,0,1534336058_38.csv,1, STATIC
41,0,0,1534336058_38.csv,1, STATIC
42,0,0,1534336058_38.csv,1, STATIC
43,0,0,1534336058_38.csv,1, STATIC
44,0,1,1534336058_38.csv,1, STATIC
45,0,1,1534336058_38.csv,1, STATIC
46,0,0,1534336058_38.csv,1, STATIC
47,1,0,1534336058_38.csv,1, STATIC
48,1,0,1534336058_38.csv,1, STATIC
49,0,0,1534336058_38.csv,1, STATIC
50,0,1,1534336058_38.csv,1, STATIC
51,0,0,1534336058_38.csv,1, STATIC
52,0,0,1534336058_38.csv,1, STATIC
53,1,0,1534336058_38.csv,1, STATIC
54,1,0,1534336058_38.csv,1, STATIC
55,0,0,1534336058_38.csv,1, STATIC
56,0,0,1534336058_38.csv,1, STATIC
57,1,0,1534336058_38.csv,1, STATIC
58,1,1,1534336058_38.csv,1, STATIC
59,1,1,1534336058_38.csv,1, STATIC
60,1,1,1534336058_38.csv,1, STATIC
61,1,1,1534336058_38.csv,1, STATIC
62,1,0,1534336058_38.csv,1, STATIC
63,1,0,1534336058_38.csv,1, STATIC
64,1,1,1534336058_38.csv,1, STATIC
65,1,1,1534336058_38.csv,1, STATIC
66,1,0,1534336058_38.csv,1, STATIC
